,asin,num_ratings,photo_url,price,rank,star_rating,title,url,department,page
1747,B0DNNH9WZN,,https://m.media-amazon.com/images/I/61NJbRGI2XL._AC_SL500_.jpg,,48,,Monsters (Mark Spears') #2A VF/NM ; Keenspot comic book,https://www.amazon.com/Monsters-Mark-Spears-Keenspot-comic/dp/B0DNNH9WZN,Entertainment Collectibles,1
1748,B0DK7SL6WN,,https://m.media-amazon.com/images/I/41jJWqgHP5L._AC_SL500_.jpg,,49,,Blade: Red Band #1 (in bag) VF/NM ; Marvel comic book | Vampire Hunter,https://www.amazon.com/Blade-Marvel-comic-Vampire-Hunter/dp/B0DK7SL6WN,Entertainment Collectibles,1
1749,B0C6FH8VH5,12,https://m.media-amazon.com/images/I/51EcHWLBUML._AC_SL500_.jpg,129.99,50,4.0,2023 Topps Star Wars Chrome Trading Card Hobby Box 1 Autograph Per Box,https://www.amazon.com/Topps-Chrome-Trading-Hobby-Autograph/dp/B0C6FH8VH5,Entertainment Collectibles,1
1750,B09GV9TB46,,"https://images-na.ssl-images-amazon.com/images/I/716mKXo1WAL._AC_UL300_SR300,200_.jpg",$24.95,51,,,https://www.amazon.com/Disney-Pin-Love-Jessica/dp/B09GV9TB46/ref=zg_bs_g_entertainment-collectibles_d_sccl_1/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1751,B07661G3CH,,"https://images-na.ssl-images-amazon.com/images/I/61QzwkTn22L._AC_UL300_SR300,200_.jpg",,52,,,https://www.amazon.com/Batman-247-DC-comic-book/dp/B07661G3CH/ref=zg_bs_g_entertainment-collectibles_d_sccl_2/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1752,B07CSJJRCS,14,"https://images-na.ssl-images-amazon.com/images/I/91GyM02uEkL._AC_UL300_SR300,200_.jpg",$32.95,53,4.6,1992 X-Men Series I Hologram Insert Set of 5 Cards NM/M Marvel Jim Lee,https://www.amazon.com/X-Men-HOLOGRAM-Insert-Cards-Marvel/dp/B07CSJJRCS/ref=zg_bs_g_entertainment-collectibles_d_sccl_3/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1753,B0DCCBX22D,1,"https://images-na.ssl-images-amazon.com/images/I/71lUInryUlL._AC_UL300_SR300,200_.jpg",$5.75,54,5.0,Sports Time Playboy Centerfold Collector Cards The August Edition Trading Card Pack,https://www.amazon.com/Sports-Playboy-Centerfold-Collector-Trading/dp/B0DCCBX22D/ref=zg_bs_g_entertainment-collectibles_d_sccl_4/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1754,B08HHV119D,,"https://images-na.ssl-images-amazon.com/images/I/714mESIgniL._AC_UL300_SR300,200_.jpg",$4.25,55,,,https://www.amazon.com/30th-Salute-Collector-Cards-Pack/dp/B08HHV119D/ref=zg_bs_g_entertainment-collectibles_d_sccl_5/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1755,B093TCH7WW,,"https://images-na.ssl-images-amazon.com/images/I/61JEAKv-TGL._AC_UL300_SR300,200_.jpg",,56,,,https://www.amazon.com/Jordan-Peterson-Signed-Autograph-Beyond/dp/B093TCH7WW/ref=zg_bs_g_entertainment-collectibles_d_sccl_6/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1756,B09C6F4HLC,,"https://images-na.ssl-images-amazon.com/images/I/41sRjP735pL._AC_UL300_SR300,200_.jpg",$4.99,57,,,https://www.amazon.com/Adventures-Superman-card-DC-comic/dp/B09C6F4HLC/ref=zg_bs_g_entertainment-collectibles_d_sccl_7/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1757,B0BK8J4QGW,,"https://images-na.ssl-images-amazon.com/images/I/61a-vDbqkTL._AC_UL300_SR300,200_.jpg",$16.99,58,,,https://www.amazon.com/Styles-Direction-reprint-signed-poster/dp/B0BK8J4QGW/ref=zg_bs_g_entertainment-collectibles_d_sccl_8/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1758,B07BV1Y7TK,,"https://images-na.ssl-images-amazon.com/images/I/71ny8QghFCL._AC_UL300_SR300,200_.jpg",$25.95,59,,,https://www.amazon.com/Disney-Pin-Nightmare-Christmas-Halloweentown/dp/B07BV1Y7TK/ref=zg_bs_g_entertainment-collectibles_d_sccl_9/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1759,B0CFWRMVV9,,"https://images-na.ssl-images-amazon.com/images/I/61pir9wBbML._AC_UL300_SR300,200_.jpg",$6.24,60,,,https://www.amazon.com/Robbie-Special-Sandoval-Printing-Variant/dp/B0CFWRMVV9/ref=zg_bs_g_entertainment-collectibles_d_sccl_10/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1760,B089S9WG1H,,"https://images-na.ssl-images-amazon.com/images/I/61GRfw0sixL._AC_UL300_SR300,200_.jpg",$24.95,61,,,https://www.amazon.com/Disney-Pin-Character-Sneaker-Pluto/dp/B089S9WG1H/ref=zg_bs_g_entertainment-collectibles_d_sccl_11/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1761,B07KB4WJCC,1,"https://images-na.ssl-images-amazon.com/images/I/61q9qCBVvCL._AC_UL300_SR300,200_.jpg",,62,5.0,,https://www.amazon.com/Jurassic-Park-Raptors-Attack-Topps/dp/B07KB4WJCC/ref=zg_bs_g_entertainment-collectibles_d_sccl_12/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1762,B07661PHQ2,,"https://images-na.ssl-images-amazon.com/images/I/61+1p-CYmmL._AC_UL300_SR300,200_.jpg",,63,,,https://www.amazon.com/Jurassic-Park-Raptors-Attack-Topps/dp/B07661PHQ2/ref=zg_bs_g_entertainment-collectibles_d_sccl_13/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1763,B01N78U9SJ,,"https://images-na.ssl-images-amazon.com/images/I/51fLxFIm4WL._AC_UL300_SR300,200_.jpg",,64,,,https://www.amazon.com/Anika-Noni-Princess-signed-photo/dp/B01N78U9SJ/ref=zg_bs_g_entertainment-collectibles_d_sccl_14/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1764,B07TVVM7K9,,"https://images-na.ssl-images-amazon.com/images/I/81flJHTwUxL._AC_UL300_SR300,200_.jpg",,65,,,https://www.amazon.com/Harley-comic-Quinn-Amanda-Conner/dp/B07TVVM7K9/ref=zg_bs_g_entertainment-collectibles_d_sccl_15/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1765,B0DQ67H2M2,,"https://images-na.ssl-images-amazon.com/images/I/61MFrKcR-rL._AC_UL300_SR300,200_.jpg",,66,,,https://www.amazon.com/Thundercats-Apex-Dynamite-comic-book/dp/B0DQ67H2M2/ref=zg_bs_g_entertainment-collectibles_d_sccl_16/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1766,B0CGLWW5S6,,"https://images-na.ssl-images-amazon.com/images/I/61mae9PyjuL._AC_UL300_SR300,200_.jpg",$190.99,67,,,https://www.amazon.com/Sandlot-Signed-Autographed-Photo-DiMattia/dp/B0CGLWW5S6/ref=zg_bs_g_entertainment-collectibles_d_sccl_17/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1767,B0B94Q7F1L,,"https://images-na.ssl-images-amazon.com/images/I/81loDQ7Z-KL._AC_UL300_SR300,200_.jpg",,68,,,https://www.amazon.com/Dungeons-Dragons-Ravenloft-Orphan-Agony-comic/dp/B0B94Q7F1L/ref=zg_bs_g_entertainment-collectibles_d_sccl_18/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1768,B088QNVRDK,1,"https://images-na.ssl-images-amazon.com/images/I/71vBvYEn8iL._AC_UL300_SR300,200_.jpg",$23.95,69,5.0,Disney Pin - The Aristocats - Napoleon and Lafayette - Riding Motorcycle,https://www.amazon.com/Disney-Pin-Mickeys-Parti-Jester/dp/B088QNVRDK/ref=zg_bs_g_entertainment-collectibles_d_sccl_19/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1769,B07SQF4KWK,,"https://images-na.ssl-images-amazon.com/images/I/511RLy9XvqL._AC_UL300_SR300,200_.jpg",,70,,,https://www.amazon.com/Green-Lantern-Huckleberry-Hound-Special/dp/B07SQF4KWK/ref=zg_bs_g_entertainment-collectibles_d_sccl_20/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1770,B008T446PE,42,"https://images-na.ssl-images-amazon.com/images/I/51tVl1zmDUL._AC_UL300_SR300,200_.jpg",$7.95,71,4.7,NCIS Full Cast Signed CBS Paramount Studio Reprint 8 x 10 Photo,https://www.amazon.com/NCIS-Signed-Paramount-Studio-Reprint/dp/B008T446PE/ref=zg_bs_g_entertainment-collectibles_d_sccl_21/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1771,B01L2F6IES,,"https://images-na.ssl-images-amazon.com/images/I/81Q3gcZq+aL._AC_UL300_SR300,200_.jpg",$34.95,72,,,https://www.amazon.com/Disney-Pin-Characters-Cinderella-Castle/dp/B01L2F6IES/ref=zg_bs_g_entertainment-collectibles_d_sccl_22/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1772,B0DJPVYC59,1,"https://images-na.ssl-images-amazon.com/images/I/81bhmIdHxPL._AC_UL300_SR300,200_.jpg",,73,5.0,,https://www.amazon.com/Creeping-Below-comic-Azzarello-Vanesa/dp/B0DJPVYC59/ref=zg_bs_g_entertainment-collectibles_d_sccl_23/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1773,B075FGT3SF,4,"https://images-na.ssl-images-amazon.com/images/I/61G-dLHijML._AC_UL300_SR300,200_.jpg",,74,5.0,,https://www.amazon.com/Disney-Parks-Keychain-Goofy-Sculpted/dp/B075FGT3SF/ref=zg_bs_g_entertainment-collectibles_d_sccl_24/142-7163771-2634156?psc=1,Entertainment Collectibles,2
1774,B00XZ3DNUS,7,"https://images-na.ssl-images-amazon.com/images/I/41W3oIn1LqL._AC_UL300_SR300,200_.jpg",$6.95,75,4.9,PINK FLOYD Movie Film Cell Bookmark Memorabilia Collectible Complements Poster Book Theater,https://www.amazon.com/FLOYD-Bookmark-memorabilia-Compliments-poster/dp/B00XZ3DNUS/ref=zg_bs_g_entertainment-collectibles_d_sccl_25/142-7163771-2634156?psc=1,Entertainment Collectibles,2
